SEN No.,Batch id,Batch No,Class Commencement Date,Assessment Date,Excel,Excel %Score,Assessment Date,Power BI,Power BI %Score,Assessment Date,SQL,SQL %Score,Assessment Date,Statistics,Statistics %Score,Assessment Date,Python,Python %Score,Assessment Date,Machine Learning,Machine Learning %Score,Assessment Date,AWS,AWS %Score,Assessment Date,Deep Learning,Deep Learning %Score,Assessment Date,NLP,NLP %Score,Total Marks,Pass Rate,Total Avg %,Pass/Fail
GL1120221559,GL-B62,62,03/06/2022,03/07/2022,60,100.00,03/08/2022,2,3.33,03/09/2022,36,60.00,03/10/2022,9,15.00,03/11/2022,7,11.67,03/12/2022,32,53.33,03/01/2023,46,76.67,03/02/2023,9,15.00,03/03/2023,23,38.33,60,40,41.48,Fail
GL1120221563,GL-B62,62,03/06/2022,03/07/2022,43,71.67,03/08/2022,51,85.00,03/09/2022,12,20.00,03/10/2022,5,8.33,03/11/2022,14,23.33,03/12/2022,42,70.00,03/01/2023,29,48.33,03/02/2023,26,43.33,03/03/2023,37,61.67,60,40,47.96,Fail
GL1120221570,GL-B62,62,03/06/2022,03/07/2022,6,10.00,03/08/2022,54,90.00,03/09/2022,47,78.33,03/10/2022,21,35.00,03/11/2022,46,76.67,03/12/2022,41,68.33,03/01/2023,38,63.33,03/02/2023,34,56.67,03/03/2023,36,60.00,60,40,59.81,Pass
GL1120221572,GL-B62,62,03/06/2022,03/07/2022,26,43.33,03/08/2022,41,68.33,03/09/2022,50,83.33,03/10/2022,19,31.67,03/11/2022,52,86.67,03/12/2022,53,88.33,03/01/2023,33,55.00,03/02/2023,18,30.00,03/03/2023,57,95.00,60,40,64.63,Pass
GL1120221575,GL-B62,62,03/06/2022,03/07/2022,37,61.67,03/08/2022,30,50.00,03/09/2022,16,26.67,03/10/2022,24,40.00,03/11/2022,27,45.00,03/12/2022,12,20.00,03/01/2023,13,21.67,03/02/2023,26,43.33,03/03/2023,44,73.33,60,40,42.41,Fail
GL1120221579,GL-B62,62,03/06/2022,03/07/2022,48,80.00,03/08/2022,5,8.33,03/09/2022,23,38.33,03/10/2022,32,53.33,03/11/2022,14,23.33,03/12/2022,41,68.33,03/01/2023,26,43.33,03/02/2023,19,31.67,03/03/2023,6,10.00,60,40,39.63,Fail
GL1120221573,GL-B62,62,03/06/2022,03/07/2022,24,40.00,03/08/2022,24,40.00,03/09/2022,38,63.33,03/10/2022,18,30.00,03/11/2022,3,5.00,03/12/2022,12,20.00,03/01/2023,47,78.33,03/02/2023,28,46.67,03/03/2023,29,48.33,60,40,41.30,Fail
GL1120221582,GL-B62,62,03/06/2022,03/07/2022,48,80.00,03/08/2022,42,70.00,03/09/2022,18,30.00,03/10/2022,49,81.67,03/11/2022,42,70.00,03/12/2022,43,71.67,03/01/2023,45,75.00,03/02/2023,43,71.67,03/03/2023,37,61.67,60,40,67.96,Pass
GL1120221588,GL-B62,62,03/06/2022,03/07/2022,20,33.33,03/08/2022,60,100.00,03/09/2022,34,56.67,03/10/2022,48,80.00,03/11/2022,14,23.33,03/12/2022,33,55.00,03/01/2023,45,75.00,03/02/2023,52,86.67,03/03/2023,46,76.67,60,40,65.19,Pass
GL1120221589,GL-B62,62,03/06/2022,03/07/2022,35,58.33,03/08/2022,19,31.67,03/09/2022,1,1.67,03/10/2022,7,11.67,03/11/2022,44,73.33,03/12/2022,20,33.33,03/01/2023,44,73.33,03/02/2023,46,76.67,03/03/2023,44,73.33,60,40,48.15,Fail
GL1120221597,GL-B62,62,03/06/2022,03/07/2022,31,51.67,03/08/2022,13,21.67,03/09/2022,38,63.33,03/10/2022,30,50.00,03/11/2022,36,60.00,03/12/2022,17,28.33,03/01/2023,1,1.67,03/02/2023,37,61.67,03/03/2023,40,66.67,60,40,45.00,Fail
GL1220221800,GL-B62,62,03/06/2022,03/07/2022,13,21.67,03/08/2022,18,30.00,03/09/2022,39,65.00,03/10/2022,39,65.00,03/11/2022,49,81.67,03/12/2022,37,61.67,03/01/2023,13,21.67,03/02/2023,51,85.00,03/03/2023,59,98.33,60,40,58.89,Pass
GL0920221268,GL-B62,62,03/06/2022,03/07/2022,49,81.67,03/08/2022,27,45.00,03/09/2022,60,100.00,03/10/2022,20,33.33,03/11/2022,49,81.67,03/12/2022,43,71.67,03/01/2023,58,96.67,03/02/2023,60,100.00,03/03/2023,21,35.00,60,40,71.67,Pass
GL1120221602,GL-B62,62,03/06/2022,03/07/2022,59,98.33,03/08/2022,45,75.00,03/09/2022,7,11.67,03/10/2022,52,86.67,03/11/2022,43,71.67,03/12/2022,32,53.33,03/01/2023,57,95.00,03/02/2023,33,55.00,03/03/2023,56,93.33,60,40,71.11,Pass
GL1120221603,GL-B62,62,03/06/2022,03/07/2022,57,95.00,03/08/2022,43,71.67,03/09/2022,54,90.00,03/10/2022,32,53.33,03/11/2022,43,71.67,03/12/2022,25,41.67,03/01/2023,36,60.00,03/02/2023,7,11.67,03/03/2023,12,20.00,60,40,57.22,Pass
GL1120221604,GL-B62,62,03/06/2022,03/07/2022,29,48.33,03/08/2022,57,95.00,03/09/2022,28,46.67,03/10/2022,10,16.67,03/11/2022,31,51.67,03/12/2022,53,88.33,03/01/2023,8,13.33,03/02/2023,51,85.00,03/03/2023,4,6.67,60,40,50.19,Pass
GL1120221605,GL-B62,62,03/06/2022,03/07/2022,12,20.00,03/08/2022,4,6.67,03/09/2022,43,71.67,03/10/2022,12,20.00,03/11/2022,28,46.67,03/12/2022,1,1.67,03/01/2023,38,63.33,03/02/2023,19,31.67,03/03/2023,46,76.67,60,40,37.59,Fail
GL1120221610,GL-B62,62,03/06/2022,03/07/2022,15,25.00,03/08/2022,44,73.33,03/09/2022,39,65.00,03/10/2022,41,68.33,03/11/2022,57,95.00,03/12/2022,38,63.33,03/01/2023,34,56.67,03/02/2023,1,1.67,03/03/2023,34,56.67,60,40,56.11,Pass
GL0820221120,GL-B62,62,03/06/2022,03/07/2022,36,60.00,03/08/2022,34,56.67,03/09/2022,19,31.67,03/10/2022,17,28.33,03/11/2022,43,71.67,03/12/2022,9,15.00,03/01/2023,43,71.67,03/02/2023,41,68.33,03/03/2023,33,55.00,60,40,50.93,Pass
GL1120221614,GL-B62,62,03/06/2022,03/07/2022,38,63.33,03/08/2022,7,11.67,03/09/2022,3,5.00,03/10/2022,47,78.33,03/11/2022,28,46.67,03/12/2022,47,78.33,03/01/2023,14,23.33,03/02/2023,14,23.33,03/03/2023,14,23.33,60,40,39.26,Fail
GL1120221612,GL-B62,62,03/06/2022,03/07/2022,25,41.67,03/08/2022,58,96.67,03/09/2022,23,38.33,03/10/2022,39,65.00,03/11/2022,45,75.00,03/12/2022,23,38.33,03/01/2023,2,3.33,03/02/2023,35,58.33,03/03/2023,20,33.33,60,40,50.00,Pass
GL1020221350,GL-B62,62,03/06/2022,03/07/2022,49,81.67,03/08/2022,41,68.33,03/09/2022,15,25.00,03/10/2022,1,1.67,03/11/2022,59,98.33,03/12/2022,32,53.33,03/01/2023,7,11.67,03/02/2023,38,63.33,03/03/2023,28,46.67,60,40,50.00,Pass
GL1120221557,GL-B62,62,03/06/2022,03/07/2022,44,73.33,03/08/2022,52,86.67,03/09/2022,21,35.00,03/10/2022,60,100.00,03/11/2022,6,10.00,03/12/2022,41,68.33,03/01/2023,54,90.00,03/02/2023,30,50.00,03/03/2023,6,10.00,60,40,58.15,Pass
GL1120221584,GL-B62,62,03/06/2022,03/07/2022,30,50.00,03/08/2022,56,93.33,03/09/2022,7,11.67,03/10/2022,5,8.33,03/11/2022,24,40.00,03/12/2022,29,48.33,03/01/2023,42,70.00,03/02/2023,11,18.33,03/03/2023,19,31.67,60,40,41.30,Fail
GL032022434,GL-B62,62,03/06/2022,03/07/2022,24,40.00,03/08/2022,34,56.67,03/09/2022,51,85.00,03/10/2022,30,50.00,03/11/2022,40,66.67,03/12/2022,7,11.67,03/01/2023,22,36.67,03/02/2023,38,63.33,03/03/2023,4,6.67,60,40,46.30,Fail
GL1120221539,GL-B63,63,12/04/2022,12/05/2022,58,96.67,12/06/2022,22,36.67,12/07/2022,45,75.00,12/08/2022,4,6.67,12/09/2022,21,35.00,12/10/2022,5,8.33,12/11/2022,13,21.67,12/12/2022,58,96.67,12/01/2023,2,3.33,60,40,42.22,Fail
GL1120221538,GL-B63,63,12/04/2022,12/05/2022,52,86.67,12/06/2022,36,60.00,12/07/2022,38,63.33,12/08/2022,59,98.33,12/09/2022,17,28.33,12/10/2022,39,65.00,12/11/2022,54,90.00,12/12/2022,4,6.67,12/01/2023,4,6.67,60,40,56.11,Pass
GL1120221545,GL-B63,63,12/04/2022,12/05/2022,60,100.00,12/06/2022,50,83.33,12/07/2022,51,85.00,12/08/2022,24,40.00,12/09/2022,20,33.33,12/10/2022,24,40.00,12/11/2022,32,53.33,12/12/2022,21,35.00,12/01/2023,21,35.00,60,40,56.11,Pass
GL1120221542,GL-B63,63,12/04/2022,12/05/2022,59,98.33,12/06/2022,1,1.67,12/07/2022,49,81.67,12/08/2022,58,96.67,12/09/2022,46,76.67,12/10/2022,29,48.33,12/11/2022,52,86.67,12/12/2022,26,43.33,12/01/2023,42,70.00,60,40,67.04,Pass
GL1120221543,GL-B63,63,12/04/2022,12/05/2022,31,51.67,12/06/2022,25,41.67,12/07/2022,5,8.33,12/08/2022,25,41.67,12/09/2022,39,65.00,12/10/2022,39,65.00,12/11/2022,1,1.67,12/12/2022,22,36.67,12/01/2023,50,83.33,60,40,43.89,Fail
GL1120221544,GL-B63,63,12/04/2022,12/05/2022,36,60.00,12/06/2022,37,61.67,12/07/2022,28,46.67,12/08/2022,57,95.00,12/09/2022,56,93.33,12/10/2022,33,55.00,12/11/2022,6,10.00,12/12/2022,56,93.33,12/01/2023,46,76.67,60,40,65.74,Pass
GL1120221548,GL-B63,63,12/04/2022,12/05/2022,5,8.33,12/06/2022,2,3.33,12/07/2022,29,48.33,12/08/2022,1,1.67,12/09/2022,43,71.67,12/10/2022,9,15.00,12/11/2022,60,100.00,12/12/2022,36,60.00,12/01/2023,53,88.33,60,40,44.07,Fail
GL1120221549,GL-B63,63,12/04/2022,12/05/2022,56,93.33,12/06/2022,14,23.33,12/07/2022,54,90.00,12/08/2022,13,21.67,12/09/2022,14,23.33,12/10/2022,39,65.00,12/11/2022,4,6.67,12/12/2022,50,83.33,12/01/2023,30,50.00,60,40,50.74,Pass
GL1120221532,GL-B63,63,12/04/2022,12/05/2022,36,60.00,12/06/2022,3,5.00,12/07/2022,46,76.67,12/08/2022,60,100.00,12/09/2022,20,33.33,12/10/2022,7,11.67,12/11/2022,12,20.00,12/12/2022,27,45.00,12/01/2023,22,36.67,60,40,43.15,Fail
GL1120221554,GL-B63,63,12/04/2022,12/05/2022,44,73.33,12/06/2022,19,31.67,12/07/2022,14,23.33,12/08/2022,9,15.00,12/09/2022,50,83.33,12/10/2022,23,38.33,12/11/2022,49,81.67,12/12/2022,17,28.33,12/01/2023,15,25.00,60,40,44.44,Fail
GL1120221555,GL-B63,63,12/04/2022,12/05/2022,44,73.33,12/06/2022,57,95.00,12/07/2022,5,8.33,12/08/2022,5,8.33,12/09/2022,24,40.00,12/10/2022,12,20.00,12/11/2022,46,76.67,12/12/2022,48,80.00,12/01/2023,24,40.00,60,40,49.07,Fail
GL1120221560,GL-B63,63,12/04/2022,12/05/2022,14,23.33,12/06/2022,58,96.67,12/07/2022,46,76.67,12/08/2022,38,63.33,12/09/2022,35,58.33,12/10/2022,29,48.33,12/11/2022,24,40.00,12/12/2022,30,50.00,12/01/2023,48,80.00,60,40,59.63,Pass
GL1120221561,GL-B63,63,12/04/2022,12/05/2022,22,36.67,12/06/2022,53,88.33,12/07/2022,11,18.33,12/08/2022,39,65.00,12/09/2022,24,40.00,12/10/2022,53,88.33,12/11/2022,58,96.67,12/12/2022,27,45.00,12/01/2023,21,35.00,60,40,57.04,Pass
GL1020221403,GL-B63,63,12/04/2022,12/05/2022,13,21.67,12/06/2022,34,56.67,12/07/2022,19,31.67,12/08/2022,42,70.00,12/09/2022,53,88.33,12/10/2022,1,1.67,12/11/2022,36,60.00,12/12/2022,39,65.00,12/01/2023,22,36.67,60,40,47.96,Fail
GL1120221565,GL-B63,63,12/04/2022,12/05/2022,27,45.00,12/06/2022,54,90.00,12/07/2022,35,58.33,12/08/2022,10,16.67,12/09/2022,52,86.67,12/10/2022,49,81.67,12/11/2022,13,21.67,12/12/2022,18,30.00,12/01/2023,53,88.33,60,40,57.59,Pass
GL1120221564,GL-B63,63,12/04/2022,12/05/2022,20,33.33,12/06/2022,41,68.33,12/07/2022,10,16.67,12/08/2022,6,10.00,12/09/2022,46,76.67,12/10/2022,33,55.00,12/11/2022,59,98.33,12/12/2022,35,58.33,12/01/2023,35,58.33,60,40,52.78,Pass
GL1120221567,GL-B63,63,12/04/2022,12/05/2022,34,56.67,12/06/2022,16,26.67,12/07/2022,35,58.33,12/08/2022,4,6.67,12/09/2022,3,5.00,12/10/2022,9,15.00,12/11/2022,22,36.67,12/12/2022,17,28.33,12/01/2023,12,20.00,60,40,28.15,Fail
GL1120221568,GL-B63,63,12/04/2022,12/05/2022,31,51.67,12/06/2022,24,40.00,12/07/2022,26,43.33,12/08/2022,23,38.33,12/09/2022,12,20.00,12/10/2022,3,5.00,12/11/2022,56,93.33,12/12/2022,24,40.00,12/01/2023,48,80.00,60,40,45.74,Fail
GL1020221516,GL-B63,63,12/04/2022,12/05/2022,37,61.67,12/06/2022,54,90.00,12/07/2022,8,13.33,12/08/2022,4,6.67,12/09/2022,33,55.00,12/10/2022,37,61.67,12/11/2022,15,25.00,12/12/2022,47,78.33,12/01/2023,10,16.67,60,40,45.37,Fail
GL1120221569,GL-B63,63,12/04/2022,12/05/2022,39,65.00,12/06/2022,48,80.00,12/07/2022,46,76.67,12/08/2022,12,20.00,12/09/2022,36,60.00,12/10/2022,39,65.00,12/11/2022,2,3.33,12/12/2022,29,48.33,12/01/2023,12,20.00,60,40,48.70,Fail
GL1120221571,GL-B63,63,12/04/2022,12/05/2022,5,8.33,12/06/2022,58,96.67,12/07/2022,31,51.67,12/08/2022,4,6.67,12/09/2022,56,93.33,12/10/2022,8,13.33,12/11/2022,30,50.00,12/12/2022,19,31.67,12/01/2023,34,56.67,60,40,45.37,Fail
GL1120221576,GL-B63,63,12/04/2022,12/05/2022,36,60.00,12/06/2022,16,26.67,12/07/2022,32,53.33,12/08/2022,39,65.00,12/09/2022,24,40.00,12/10/2022,31,51.67,12/11/2022,21,35.00,12/12/2022,58,96.67,12/01/2023,55,91.67,60,40,57.78,Pass
GL1120221574,GL-B63,63,12/04/2022,12/05/2022,57,95.00,12/06/2022,31,51.67,12/07/2022,34,56.67,12/08/2022,36,60.00,12/09/2022,55,91.67,12/10/2022,1,1.67,12/11/2022,42,70.00,12/12/2022,31,51.67,12/01/2023,44,73.33,60,40,61.30,Pass
-,GL-B63,63,12/04/2022,12/05/2022,51,85.00,12/06/2022,26,43.33,12/07/2022,56,93.33,12/08/2022,35,58.33,12/09/2022,53,88.33,12/10/2022,23,38.33,12/11/2022,29,48.33,12/12/2022,52,86.67,12/01/2023,27,45.00,60,40,65.19,Pass
GL1120221522,GL-B63,63,12/04/2022,12/05/2022,21,35.00,12/06/2022,7,11.67,12/07/2022,13,21.67,12/08/2022,17,28.33,12/09/2022,10,16.67,12/10/2022,55,91.67,12/11/2022,45,75.00,12/12/2022,36,60.00,12/01/2023,43,71.67,60,40,45.74,Fail
GL1020221425,GL-B64,64,07/05/2022,07/06/2022,12,20.00,07/07/2022,41,68.33,07/08/2022,36,60.00,07/09/2022,55,91.67,07/10/2022,28,46.67,07/11/2022,53,88.33,07/12/2022,20,33.33,07/01/2023,21,35.00,07/02/2023,27,45.00,60,40,54.26,Pass
GL1120221577,GL-B64,64,07/05/2022,07/06/2022,14,23.33,07/07/2022,27,45.00,07/08/2022,45,75.00,07/09/2022,28,46.67,07/10/2022,43,71.67,07/11/2022,23,38.33,07/12/2022,35,58.33,07/01/2023,31,51.67,07/02/2023,1,1.67,60,40,45.74,Fail
GL1120221580,GL-B64,64,07/05/2022,07/06/2022,33,55.00,07/07/2022,25,41.67,07/08/2022,23,38.33,07/09/2022,3,5.00,07/10/2022,59,98.33,07/11/2022,40,66.67,07/12/2022,15,25.00,07/01/2023,11,18.33,07/02/2023,57,95.00,60,40,49.26,Fail
GL1120221585,GL-B64,64,07/05/2022,07/06/2022,50,83.33,07/07/2022,8,13.33,07/08/2022,11,18.33,07/09/2022,27,45.00,07/10/2022,28,46.67,07/11/2022,56,93.33,07/12/2022,31,51.67,07/01/2023,39,65.00,07/02/2023,9,15.00,60,40,47.96,Fail
GL1120221587,GL-B64,64,07/05/2022,07/06/2022,22,36.67,07/07/2022,55,91.67,07/08/2022,44,73.33,07/09/2022,46,76.67,07/10/2022,2,3.33,07/11/2022,20,33.33,07/12/2022,19,31.67,07/01/2023,52,86.67,07/02/2023,18,30.00,60,40,51.48,Pass
GL1120221586,GL-B64,64,07/05/2022,07/06/2022,48,80.00,07/07/2022,18,30.00,07/08/2022,33,55.00,07/09/2022,53,88.33,07/10/2022,47,78.33,07/11/2022,5,8.33,07/12/2022,28,46.67,07/01/2023,49,81.67,07/02/2023,42,70.00,60,40,59.81,Pass
GL1120221590,GL-B64,64,07/05/2022,07/06/2022,29,48.33,07/07/2022,47,78.33,07/08/2022,13,21.67,07/09/2022,1,1.67,07/10/2022,34,56.67,07/11/2022,8,13.33,07/12/2022,23,38.33,07/01/2023,48,80.00,07/02/2023,32,53.33,60,40,43.52,Fail
GL1120221596,GL-B64,64,07/05/2022,07/06/2022,26,43.33,07/07/2022,25,41.67,07/08/2022,23,38.33,07/09/2022,14,23.33,07/10/2022,17,28.33,07/11/2022,10,16.67,07/12/2022,37,61.67,07/01/2023,22,36.67,07/02/2023,50,83.33,60,40,41.48,Fail
GL1120221592,GL-B64,64,07/05/2022,07/06/2022,38,63.33,07/07/2022,28,46.67,07/08/2022,38,63.33,07/09/2022,48,80.00,07/10/2022,27,45.00,07/11/2022,25,41.67,07/12/2022,31,51.67,07/01/2023,31,51.67,07/02/2023,11,18.33,60,40,51.30,Pass
GL1120221598,GL-B64,64,07/05/2022,07/06/2022,60,100.00,07/07/2022,9,15.00,07/08/2022,60,100.00,07/09/2022,17,28.33,07/10/2022,9,15.00,07/11/2022,34,56.67,07/12/2022,37,61.67,07/01/2023,38,63.33,07/02/2023,44,73.33,60,40,57.04,Pass
GL1120221599,GL-B64,64,07/05/2022,07/06/2022,33,55.00,07/07/2022,20,33.33,07/08/2022,53,88.33,07/09/2022,9,15.00,07/10/2022,25,41.67,07/11/2022,28,46.67,07/12/2022,11,18.33,07/01/2023,56,93.33,07/02/2023,53,88.33,60,40,53.33,Pass
GL1120221600,GL-B64,64,07/05/2022,07/06/2022,29,48.33,07/07/2022,12,20.00,07/08/2022,10,16.67,07/09/2022,56,93.33,07/10/2022,22,36.67,07/11/2022,58,96.67,07/12/2022,37,61.67,07/01/2023,51,85.00,07/02/2023,35,58.33,60,40,57.41,Pass
GL1120221608,GL-B64,64,07/05/2022,07/06/2022,29,48.33,07/07/2022,15,25.00,07/08/2022,10,16.67,07/09/2022,18,30.00,07/10/2022,50,83.33,07/11/2022,6,10.00,07/12/2022,41,68.33,07/01/2023,26,43.33,07/02/2023,43,71.67,60,40,44.07,Fail
GL1120221609,GL-B64,64,07/05/2022,07/06/2022,14,23.33,07/07/2022,9,15.00,07/08/2022,28,46.67,07/09/2022,60,100.00,07/10/2022,54,90.00,07/11/2022,37,61.67,07/12/2022,58,96.67,07/01/2023,7,11.67,07/02/2023,25,41.67,60,40,54.07,Pass
GL1120221606,GL-B64,64,07/05/2022,07/06/2022,6,10.00,07/07/2022,47,78.33,07/08/2022,27,45.00,07/09/2022,41,68.33,07/10/2022,34,56.67,07/11/2022,39,65.00,07/12/2022,50,83.33,07/01/2023,55,91.67,07/02/2023,59,98.33,60,40,66.30,Pass
GL1020221446,GL-B64,64,07/05/2022,07/06/2022,44,73.33,07/07/2022,8,13.33,07/08/2022,37,61.67,07/09/2022,37,61.67,07/10/2022,15,25.00,07/11/2022,26,43.33,07/12/2022,53,88.33,07/01/2023,52,86.67,07/02/2023,39,65.00,60,40,57.59,Pass
GL1020221347,GL-B64,64,07/05/2022,07/06/2022,23,38.33,07/07/2022,50,83.33,07/08/2022,18,30.00,07/09/2022,23,38.33,07/10/2022,20,33.33,07/11/2022,10,16.67,07/12/2022,31,51.67,07/01/2023,26,43.33,07/02/2023,54,90.00,60,40,47.22,Fail
GL052022633,GL-B64,64,07/05/2022,07/06/2022,45,75.00,07/07/2022,48,80.00,07/08/2022,55,91.67,07/09/2022,33,55.00,07/10/2022,32,53.33,07/11/2022,25,41.67,07/12/2022,3,5.00,07/01/2023,30,50.00,07/02/2023,58,96.67,60,40,60.93,Pass
GL052022648,GL-B64,64,07/05/2022,07/06/2022,5,8.33,07/07/2022,60,100.00,07/08/2022,35,58.33,07/09/2022,14,23.33,07/10/2022,11,18.33,07/11/2022,30,50.00,07/12/2022,23,38.33,07/01/2023,8,13.33,07/02/2023,40,66.67,60,40,41.85,Fail
GL1120221562,GL-B64,64,07/05/2022,07/06/2022,46,76.67,07/07/2022,33,55.00,07/08/2022,57,95.00,07/09/2022,46,76.67,07/10/2022,21,35.00,07/11/2022,59,98.33,07/12/2022,6,10.00,07/01/2023,30,50.00,07/02/2023,43,71.67,60,40,63.15,Pass
GL1120221643,GL-B64,64,07/05/2022,07/06/2022,14,23.33,07/07/2022,56,93.33,07/08/2022,21,35.00,07/09/2022,25,41.67,07/10/2022,43,71.67,07/11/2022,57,95.00,07/12/2022,26,43.33,07/01/2023,25,41.67,07/02/2023,16,26.67,60,40,52.41,Pass
GL122021267,GL-B64,64,07/05/2022,07/06/2022,45,75.00,07/07/2022,10,16.67,07/08/2022,3,5.00,07/09/2022,32,53.33,07/10/2022,35,58.33,07/11/2022,34,56.67,07/12/2022,10,16.67,07/01/2023,42,70.00,07/02/2023,26,43.33,60,40,43.89,Fail
GL122021268,GL-B64,64,07/05/2022,07/06/2022,30,50.00,07/07/2022,24,40.00,07/08/2022,15,25.00,07/09/2022,24,40.00,07/10/2022,41,68.33,07/11/2022,34,56.67,07/12/2022,41,68.33,07/01/2023,54,90.00,07/02/2023,16,26.67,60,40,51.67,Pass
GL1120221591,GL-B65,65,08/10/2022,08/11/2022,21,35.00,08/12/2022,42,70.00,08/01/2023,19,31.67,08/02/2023,20,33.33,08/03/2023,47,78.33,08/04/2023,60,100.00,08/05/2023,26,43.33,08/06/2023,1,1.67,08/07/2023,19,31.67,60,40,47.22,Fail
GL1120221611,GL-B65,65,08/10/2022,08/11/2022,10,16.67,08/12/2022,18,30.00,08/01/2023,35,58.33,08/02/2023,6,10.00,08/03/2023,10,16.67,08/04/2023,53,88.33,08/05/2023,43,71.67,08/06/2023,28,46.67,08/07/2023,45,75.00,60,40,45.93,Fail
GL1120221613,GL-B65,65,08/10/2022,08/11/2022,17,28.33,08/12/2022,4,6.67,08/01/2023,7,11.67,08/02/2023,57,95.00,08/03/2023,42,70.00,08/04/2023,35,58.33,08/05/2023,37,61.67,08/06/2023,14,23.33,08/07/2023,50,83.33,60,40,48.70,Fail
GL1120221615,GL-B65,65,08/10/2022,08/11/2022,6,10.00,08/12/2022,35,58.33,08/01/2023,42,70.00,08/02/2023,12,20.00,08/03/2023,39,65.00,08/04/2023,27,45.00,08/05/2023,43,71.67,08/06/2023,21,35.00,08/07/2023,49,81.67,60,40,50.74,Pass
GL1120221617,GL-B65,65,08/10/2022,08/11/2022,46,76.67,08/12/2022,47,78.33,08/01/2023,29,48.33,08/02/2023,15,25.00,08/03/2023,18,30.00,08/04/2023,35,58.33,08/05/2023,18,30.00,08/06/2023,57,95.00,08/07/2023,37,61.67,60,40,55.93,Pass
GL1120221618,GL-B65,65,08/10/2022,08/11/2022,51,85.00,08/12/2022,39,65.00,08/01/2023,53,88.33,08/02/2023,32,53.33,08/03/2023,13,21.67,08/04/2023,19,31.67,08/05/2023,44,73.33,08/06/2023,27,45.00,08/07/2023,9,15.00,60,40,53.15,Pass
GL1120221620,GL-B65,65,08/10/2022,08/11/2022,45,75.00,08/12/2022,37,61.67,08/01/2023,2,3.33,08/02/2023,20,33.33,08/03/2023,7,11.67,08/04/2023,50,83.33,08/05/2023,33,55.00,08/06/2023,38,63.33,08/07/2023,5,8.33,60,40,43.89,Fail
GL1120221622,GL-B65,65,08/10/2022,08/11/2022,60,100.00,08/12/2022,50,83.33,08/01/2023,8,13.33,08/02/2023,52,86.67,08/03/2023,31,51.67,08/04/2023,28,46.67,08/05/2023,35,58.33,08/06/2023,33,55.00,08/07/2023,15,25.00,60,40,57.78,Pass
GL1120221624,GL-B65,65,08/10/2022,08/11/2022,27,45.00,08/12/2022,58,96.67,08/01/2023,43,71.67,08/02/2023,45,75.00,08/03/2023,26,43.33,08/04/2023,1,1.67,08/05/2023,40,66.67,08/06/2023,55,91.67,08/07/2023,53,88.33,60,40,64.44,Pass
GL1120221630,GL-B65,65,08/10/2022,08/11/2022,23,38.33,08/12/2022,20,33.33,08/01/2023,53,88.33,08/02/2023,11,18.33,08/03/2023,20,33.33,08/04/2023,25,41.67,08/05/2023,43,71.67,08/06/2023,56,93.33,08/07/2023,3,5.00,60,40,47.04,Fail
GL1120221631,GL-B65,65,08/10/2022,08/11/2022,49,81.67,08/12/2022,33,55.00,08/01/2023,5,8.33,08/02/2023,53,88.33,08/03/2023,45,75.00,08/04/2023,34,56.67,08/05/2023,5,8.33,08/06/2023,3,5.00,08/07/2023,33,55.00,60,40,48.15,Fail
GL1120221632,GL-B65,65,08/10/2022,08/11/2022,29,48.33,08/12/2022,30,50.00,08/01/2023,55,91.67,08/02/2023,24,40.00,08/03/2023,23,38.33,08/04/2023,53,88.33,08/05/2023,42,70.00,08/06/2023,33,55.00,08/07/2023,59,98.33,60,40,64.44,Pass
GL1120221637,GL-B65,65,08/10/2022,08/11/2022,10,16.67,08/12/2022,16,26.67,08/01/2023,46,76.67,08/02/2023,13,21.67,08/03/2023,1,1.67,08/04/2023,18,30.00,08/05/2023,18,30.00,08/06/2023,20,33.33,08/07/2023,18,30.00,60,40,29.63,Fail
GL1120221638,GL-B65,65,08/10/2022,08/11/2022,58,96.67,08/12/2022,38,63.33,08/01/2023,56,93.33,08/02/2023,29,48.33,08/03/2023,17,28.33,08/04/2023,26,43.33,08/05/2023,55,91.67,08/06/2023,36,60.00,08/07/2023,47,78.33,60,40,67.04,Pass
GL1120221641,GL-B65,65,08/10/2022,08/11/2022,29,48.33,08/12/2022,7,11.67,08/01/2023,10,16.67,08/02/2023,31,51.67,08/03/2023,16,26.67,08/04/2023,8,13.33,08/05/2023,59,98.33,08/06/2023,45,75.00,08/07/2023,23,38.33,60,40,42.22,Fail
GL1120221642,GL-B65,65,08/10/2022,08/11/2022,23,38.33,08/12/2022,60,100.00,08/01/2023,47,78.33,08/02/2023,51,85.00,08/03/2023,17,28.33,08/04/2023,33,55.00,08/05/2023,24,40.00,08/06/2023,50,83.33,08/07/2023,59,98.33,60,40,67.41,Pass
GL1120221647,GL-B65,65,08/10/2022,08/11/2022,49,81.67,08/12/2022,55,91.67,08/01/2023,42,70.00,08/02/2023,14,23.33,08/03/2023,35,58.33,08/04/2023,34,56.67,08/05/2023,16,26.67,08/06/2023,54,90.00,08/07/2023,22,36.67,60,40,59.44,Pass
GL1120221649,GL-B65,65,08/10/2022,08/11/2022,10,16.67,08/12/2022,20,33.33,08/01/2023,17,28.33,08/02/2023,23,38.33,08/03/2023,53,88.33,08/04/2023,30,50.00,08/05/2023,42,70.00,08/06/2023,35,58.33,08/07/2023,41,68.33,60,40,50.19,Pass
